title,price,address,area,rooms,floors,house_type,construction_date,ceiling_height,link
"1-к. квартира, 42,3 м кв., 25/25 эт.",4018500,"ул. Кустовая, д. 2А",42.3,1,25 из 25,монолитный,1 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_423_m_2525_et._2248319868
"3-к. квартира, 44 м кв., 8/20 эт.",3873760,"ул. Краснополянская, д. 34",44,3,8 из 20,монолитный,3 кв. 2022 года,2.6,https://www.avito.ru/perm/kvartiry/3-k._kvartira_44m_820et._2293903567
"Квартира-студия, 23,8 м кв., 3/25 эт.",2320000,"ул. Солдатова, д. 30Б",23.8,студия,3 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/kvartira-studiya_238_m_325_et._2292833632
"1-к. квартира, 46,9 м кв., 6/6 эт.",6097000,"ул. Екатерининская, д. 10",46.9,1,6 из 6,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_469_m_66_et._2248635668
"2-к. квартира, 79,3 м кв., 2/4 эт.",6937875,"ул. Борцов Революции, д. 1, корп. А, стр. 1",79.3,2,2 из 4,монолитный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_793_m_24_et._2259499281
"2-к. квартира, 57,8 м кв., 10/25 эт.",5294480,"ул. Барамзиной, д. 38",57.8,2,10 из 25,монолитный,4 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_578m_1025et._2251651550
"Квартира-студия, 30,4 м кв., 5/11 эт.",2552760,"ул. Ласьвинская, д. 15",30.4,студия,5 из 11,кирпичный,1 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_304m_511et._2262177860
"3-к. квартира, 81,3 м кв., 6/9 эт.",7723000,"ул. Советской Армии, д. 82",81.3,3,6 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/3-k._kvartira_813m_69et._2323133338
"3-к. квартира, 44 м кв., 8/20 эт.",3873760,"ул. Краснополянская, д. 34",44,3,8 из 20,монолитный,3 кв. 2022 года,2.6,https://www.avito.ru/perm/kvartiry/3-k._kvartira_44m_820et._2293903567
"Квартира-студия, 59,1 м кв., 13/25 эт.",4455000,"ул. Солдатова, д. 30Б",59.1,студия,13 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/kvartira-studiya_591_m_1325_et._2292088065
